Strategy,Green Length,Yellow Length,Neighbors Asked,Weights,Total Traffic Input,Total Traffic Output,Total Waiting Time,Average Total Waiting Time,Total Accidents,Priority Vehicles Count,Priority Average Waiting Time
allow-priority?,1,1,,,290.0,206.0,823949.0,2841.2034482758622,0.0,6.0,1630.1666666666667
allow-priority?,2,1,,,9958.0,9936.0,119548.0,12.005221932114882,1.0,202.0,1.8465346534653466
allow-priority?,3,1,,,10012.0,9999.0,89308.0,8.920095884938075,0.0,206.0,1.1116504854368932
allow-priority?,4,1,,,10093.0,10072.0,94408.0,9.353809570989794,0.0,203.0,1.0985221674876848
allow-priority?,5,1,,,9896.0,9881.0,99795.0,10.084377526273242,0.0,199.0,1.256281407035176
allow-priority?,6,1,,,9907.0,9891.0,103422.0,10.439285353790249,0.0,229.0,1.2925764192139737
allow-priority?,7,1,,,9922.0,9891.0,108510.0,10.936303164684539,0.0,213.0,1.272300469483568
allow-priority?,8,1,,,9876.0,9856.0,112346.0,11.375658161198865,1.0,184.0,1.4619565217391304
allow-priority?,9,1,,,10038.0,10017.0,128517.0,12.803048416019127,3.0,187.0,1.6577540106951871
allow-priority?,10,1,,,9991.0,9964.0,135209.0,13.533079771794615,5.0,172.0,1.877906976744186
allow-priority?,11,1,,,9980.0,9954.0,141663.0,14.194689378757515,1.0,206.0,2.383495145631068
allow-priority?,12,1,,,9911.0,9888.0,151418.0,15.277772172333771,3.0,190.0,2.163157894736842
allow-priority?,13,1,,,9982.0,9949.0,156107.0,15.638849929873773,4.0,213.0,2.563380281690141
allow-priority?,14,1,,,9981.0,9952.0,173806.0,17.41368600340647,3.0,198.0,2.6818181818181817
allow-priority?,15,1,,,9906.0,9869.0,171480.0,17.310720775287706,3.0,182.0,2.3241758241758244
allow-priority?,16,1,,,9961.0,9926.0,189915.0,19.06585684168256,3.0,199.0,3.030150753768844
allow-priority?,17,1,,,9871.0,9829.0,190410.0,19.289838922095026,2.0,213.0,3.164319248826291
allow-priority?,18,1,,,9885.0,9838.0,196940.0,19.92311583206879,3.0,196.0,3.1785714285714284
allow-priority?,19,1,,,9884.0,9852.0,214716.0,21.723593686766492,4.0,218.0,4.128440366972477
allow-priority?,20,1,,,10021.0,9985.0,230411.0,22.99281508831454,1.0,226.0,4.300884955752212
allow-priority?,1,2,,,586.0,502.0,810050.0,1382.3378839590443,0.0,13.0,723.6923076923077
allow-priority?,2,2,,,109.0,28.0,804817.0,7383.642201834862,0.0,4.0,2481.25
allow-priority?,3,2,,,10163.0,10136.0,137953.0,13.574043097510577,0.0,203.0,1.6502463054187193
allow-priority?,4,2,,,9909.0,9877.0,128335.0,12.951357351902312,2.0,207.0,1.9178743961352658
allow-priority?,5,2,,,10059.0,10032.0,137762.0,13.695397156775027,2.0,186.0,2.129032258064516
allow-priority?,6,2,,,9941.0,9916.0,132977.0,13.376622070214264,2.0,186.0,1.7365591397849462
allow-priority?,7,2,,,10054.0,10033.0,141569.0,14.080863337974936,0.0,190.0,1.8578947368421053
allow-priority?,8,2,,,9968.0,9939.0,144006.0,14.44682985553772,3.0,178.0,2.056179775280899
allow-priority?,9,2,,,10072.0,10042.0,153979.0,15.287827640984908,1.0,182.0,2.010989010989011
allow-priority?,10,2,,,10019.0,9992.0,159302.0,15.899990018963969,1.0,196.0,2.1479591836734695
allow-priority?,11,2,,,9913.0,9873.0,163751.0,16.518813679007366,5.0,204.0,2.6862745098039214
allow-priority?,12,2,,,9833.0,9795.0,164163.0,16.69510830875623,3.0,198.0,2.8484848484848486
