Strategy,Green Length,Yellow Length,Neighbors Asked,Weights,Total Traffic Input,Total Traffic Output,Total Waiting Time,Average Total Waiting Time,Total Accidents,Priority Average Waiting Time
auto?,1,1,,,10162.0,10139.0,124416.0,12.243259200944696,0.0,11.68361581920904
auto?,2,1,,,9962.0,9939.0,173629.0,17.42913069664726,0.0,17.34536082474227
auto?,3,1,,,9915.0,9891.0,110007.0,11.09500756429652,0.0,11.23076923076923
auto?,4,1,,,9926.0,9899.0,111305.0,11.213479750151118,0.0,11.072916666666666
auto?,5,1,,,10037.0,10022.0,99604.0,9.923682375211717,0.0,9.852017937219731
auto?,6,1,,,9978.0,9961.0,95232.0,9.544197233914613,0.0,9.62037037037037
auto?,7,1,,,9944.0,9930.0,91121.0,9.16341512469831,0.0,9.02127659574468
auto?,8,1,,,9913.0,9890.0,88375.0,8.915061030969435,0.0,8.803191489361701
auto?,9,1,,,9968.0,9948.0,88347.0,8.86306179775281,0.0,8.619718309859154
auto?,10,1,,,10006.0,9992.0,88698.0,8.864481311213272,0.0,9.272727272727273
auto?,11,1,,,9944.0,9932.0,87374.0,8.78660498793242,0.0,8.642857142857142
auto?,12,1,,,10175.0,10159.0,90804.0,8.924226044226044,0.0,9.380090497737557
auto?,13,1,,,9914.0,9899.0,87889.0,8.865140205769618,0.0,9.178082191780822
auto?,14,1,,,9967.0,9945.0,92750.0,9.305708839169258,0.0,8.2
auto?,15,1,,,9985.0,9966.0,92827.0,9.296644967451178,0.0,9.41904761904762
auto?,16,1,,,9934.0,9918.0,95203.0,9.583551439500704,0.0,9.293193717277488
auto?,17,1,,,9943.0,9927.0,96975.0,9.753092627979482,0.0,9.578947368421053
auto?,18,1,,,9921.0,9898.0,99190.0,9.99798407418607,0.0,9.789473684210526
auto?,19,1,,,10019.0,10005.0,104557.0,10.435871843497354,0.0,10.683908045977011
auto?,20,1,,,9882.0,9866.0,103713.0,10.495142683667273,0.0,10.61025641025641
auto?,1,2,,,9938.0,9902.0,220516.0,22.18917287180519,0.0,22.555
auto?,2,2,,,9934.0,9894.0,272201.0,27.400946245218442,0.0,27.16949152542373
auto?,3,2,,,10060.0,10032.0,160882.0,15.992246520874751,0.0,16.175531914893618
auto?,4,2,,,9967.0,9940.0,149969.0,15.046553626968997,0.0,14.989247311827956
auto?,5,2,,,10128.0,10108.0,137105.0,13.53722353870458,0.0,12.796791443850267
auto?,6,2,,,9974.0,9953.0,123933.0,12.425606577100462,0.0,12.444444444444445
auto?,7,2,,,10073.0,10059.0,120166.0,11.92951454383004,0.0,11.801047120418849
auto?,8,2,,,10035.0,10013.0,112779.0,11.238565022421525,0.0,10.364928909952607
auto?,9,2,,,10023.0,9999.0,109481.0,10.922977152549137,0.0,11.051401869158878
auto?,10,2,,,9986.0,9968.0,106340.0,10.648908471860604,0.0,10.707070707070708
auto?,11,2,,,9932.0,9917.0,103809.0,10.451973419250907,0.0,10.848484848484848
auto?,12,2,,,9917.0,9903.0,103341.0,10.420590904507412,0.0,10.448275862068966
auto?,13,2,,,9980.0,9961.0,105161.0,10.537174348697395,0.0,10.132275132275133
auto?,14,2,,,9971.0,9955.0,106469.0,10.67786581085147,0.0,10.03921568627451
auto?,15,2,,,9982.0,9960.0,106684.0,10.687637747946303,0.0,10.090425531914894
auto?,16,2,,,9990.0,9969.0,108194.0,10.83023023023023,0.0,11.125628140703517
auto?,17,2,,,9932.0,9907.0,109219.0,10.99667740636327,0.0,11.03125
auto?,18,2,,,9958.0,9939.0,111314.0,11.178349066077526,0.0,11.352331606217616
auto?,19,2,,,9931.0,9911.0,113124.0,11.390997885409325,0.0,11.0
auto?,20,2,,,9961.0,9945.0,117039.0,11.749723923300873,0.0,11.953757225433526
auto?,1,3,,,9567.0,9514.0,373718.0,39.063238214696355,0.0,40.78172588832487
auto?,2,3,,,9754.0,9713.0,425172.0,43.58950174287472,0.0,44.51456310679612
auto?,3,3,,,9970.0,9941.0,218626.0,21.928385155466398,0.0,22.105527638190956
auto?,4,3,,,10060.0,10029.0,196682.0,19.55089463220676,0.0,19.816831683168317
auto?,5,3,,,9974.0,9947.0,176621.0,17.708141167034288,0.0,17.61214953271028
auto?,6,3,,,9929.0,9900.0,155156.0,15.626548494309597,0.0,14.74869109947644
auto?,7,3,,,10078.0,10054.0,148106.0,14.69597142290137,0.0,14.775510204081632
auto?,8,3,,,10004.0,9979.0,135990.0,13.593562574970012,0.0,13.080808080808081
auto?,9,3,,,9933.0,9909.0,131140.0,13.202456458270412,0.0,12.706521739130435
auto?,10,3,,,9937.0,9915.0,124228.0,12.50155982690953,0.0,12.246445497630331
auto?,11,3,,,9869.0,9845.0,119547.0,12.11338534805958,0.0,11.53170731707317
auto?,12,3,,,9918.0,9893.0,118579.0,11.955938697318008,0.0,11.545454545454545
auto?,13,3,,,9990.0,9973.0,121874.0,12.1995995995996,0.0,13.109243697478991
auto?,14,3,,,9891.0,9871.0,117580.0,11.887574562733798,0.0,11.445
auto?,15,3,,,9908.0,9889.0,118556.0,11.965684295518773,0.0,11.726851851851851
auto?,16,3,,,9931.0,9907.0,120277.0,12.111267747457456,0.0,11.625
auto?,17,3,,,9914.0,9894.0,121476.0,12.252975590074643,0.0,13.615384615384615
auto?,18,3,,,9884.0,9862.0,122690.0,12.412990692027519,0.0,12.977777777777778
auto?,19,3,,,9764.0,9747.0,122010.0,12.495903318312168,0.0,11.0
auto?,20,3,,,9852.0,9828.0,127699.0,12.96173365814048,0.0,13.51980198019802
auto?,1,4,,,8593.0,8534.0,563403.0,65.5653438845572,0.0,64.56459330143541
auto?,2,4,,,9185.0,9122.0,582255.0,63.391943385955365,0.0,62.706896551724135
auto?,3,4,,,10004.0,9966.0,301457.0,30.133646541383445,0.0,30.04390243902439
auto?,4,4,,,9878.0,9846.0,244264.0,24.72808260781535,0.0,24.617977528089888
auto?,5,4,,,9940.0,9900.0,216452.0,21.77585513078471,0.0,21.494791666666668
auto?,6,4,,,10108.0,10079.0,197304.0,19.519588444796202,0.0,18.994791666666668
auto?,7,4,,,9978.0,9951.0,177693.0,17.80847865303668,0.0,17.592039800995025
auto?,8,4,,,9906.0,9881.0,158937.0,16.04451847365233,0.0,15.814285714285715
auto?,9,4,,,10047.0,10022.0,157089.0,15.635413556285458,0.0,15.673684210526316
auto?,10,4,,,10041.0,10015.0,149149.0,14.853998605716562,0.0,14.847161572052402
auto?,11,4,,,10016.0,9991.0,144719.0,14.44878194888179,0.0,14.236966824644549
auto?,12,4,,,9852.0,9824.0,136430.0,13.847949654892407,0.0,14.63963963963964
auto?,13,4,,,9775.0,9757.0,132183.0,13.522557544757033,0.0,13.451456310679612
auto?,14,4,,,9929.0,9899.0,135005.0,13.597038976734817,0.0,13.459893048128341
auto?,15,4,,,9855.0,9830.0,133614.0,13.557990867579909,0.0,13.304123711340207
auto?,16,4,,,9761.0,9738.0,129579.0,13.275176723696342,0.0,13.678571428571429
auto?,17,4,,,9754.0,9730.0,132291.0,13.562743489850318,0.0,14.492063492063492
auto?,18,4,,,9938.0,9922.0,138248.0,13.911048500704368,0.0,14.689119170984457
auto?,19,4,,,9825.0,9804.0,134924.0,13.732722646310432,0.0,13.114427860696518
auto?,20,4,,,9896.0,9879.0,138944.0,14.040420371867421,0.0,14.77659574468085
auto?,1,5,,,7632.0,7553.0,698479.0,91.51978511530399,0.0,94.41379310344827
auto?,2,5,,,8508.0,8420.0,711610.0,83.64010343206394,0.0,82.98692810457516
auto?,3,5,,,9675.0,9613.0,378799.0,39.152351421188634,0.0,38.18478260869565
auto?,4,5,,,9907.0,9862.0,311060.0,31.39800141314222,0.0,32.71584699453552
auto?,5,5,,,10018.0,9970.0,278451.0,27.79506887602316,0.0,27.073529411764707
auto?,6,5,,,10035.0,9990.0,236852.0,23.602590931738913,0.0,23.375661375661377
auto?,7,5,,,9936.0,9904.0,208298.0,20.963969404186795,0.0,20.887179487179488
auto?,8,5,,,10023.0,9998.0,194213.0,19.376733512920282,0.0,18.421319796954315
auto?,9,5,,,9962.0,9939.0,183647.0,18.434752057819715,0.0,18.466666666666665
auto?,10,5,,,10019.0,10000.0,172898.0,17.257011677812155,0.0,18.331491712707184
auto?,11,5,,,9989.0,9964.0,164640.0,16.482130343377715,0.0,15.1256038647343
auto?,12,5,,,9829.0,9801.0,155007.0,15.770373384881474,0.0,16.03125
auto?,13,5,,,9852.0,9827.0,153723.0,15.603227771010962,0.0,14.97883597883598
auto?,14,5,,,9911.0,9882.0,149138.0,15.04772475027747,0.0,14.08252427184466
auto?,15,5,,,9900.0,9880.0,149221.0,15.072828282828283,0.0,14.758139534883721
auto?,16,5,,,9847.0,9829.0,145245.0,14.750177719102265,0.0,14.371584699453551
auto?,17,5,,,9890.0,9867.0,146103.0,14.772800808897877,0.0,15.37125748502994
auto?,18,5,,,9870.0,9850.0,145450.0,14.736575481256333,0.0,14.53061224489796
auto?,19,5,,,9755.0,9735.0,145153.0,14.879856483854434,0.0,15.623595505617978
auto?,20,5,,,9789.0,9772.0,147321.0,15.049647563591787,0.0,15.192488262910798
