Strategy,Green Length,Yellow Length,Neighbors Asked,Weights,Total Traffic Input,Total Traffic Output,Total Waiting Time,Average Total Waiting Time,Total Accidents,Priority Vehicles Count,Priority Average Waiting Time
multi-agent?,,1,1,"(0, 0, 100)",5058.0,5029.0,269246.0,53.23171213918545,0.0,98.0,0.0
multi-agent?,,1,1,"(0, 20, 80)",10040.0,9933.0,36577.0,3.6431274900398405,48.0,202.0,0.8613861386138614
multi-agent?,,1,1,"(0, 40, 60)",10070.0,9981.0,37070.0,3.6812313803376364,39.0,188.0,1.446808510638298
multi-agent?,,1,1,"(0, 50, 50)",9966.0,9835.0,36973.0,3.7099137066024483,57.0,182.0,1.7197802197802199
multi-agent?,,1,1,"(0, 60, 40)",10049.0,9910.0,37038.0,3.6857398746143897,62.0,178.0,2.241573033707865
multi-agent?,,1,1,"(0, 80, 20)",10103.0,9963.0,37488.0,3.7105810155399386,63.0,210.0,2.4380952380952383
multi-agent?,,1,1,"(0, 100, 0)",10143.0,10002.0,38006.0,3.7470176476387658,61.0,221.0,3.7963800904977374
multi-agent?,,1,1,"(10, 10, 80)",10028.0,9980.0,11991.0,1.1957518946948544,21.0,191.0,0.25654450261780104
multi-agent?,,1,1,"(10, 30, 60)",9981.0,9925.0,13004.0,1.3028754633804227,25.0,199.0,0.457286432160804
multi-agent?,,1,1,"(10, 40, 50)",10030.0,9971.0,13889.0,1.3847457627118644,25.0,178.0,0.6292134831460674
multi-agent?,,1,1,"(10, 50, 40)",9958.0,9901.0,13607.0,1.3664390439847358,21.0,199.0,0.864321608040201
multi-agent?,,1,1,"(10, 60, 30)",10051.0,9978.0,15533.0,1.5454183663317083,32.0,219.0,1.0182648401826484
multi-agent?,,1,1,"(10, 80, 10)",10064.0,9987.0,14348.0,1.4256756756756757,33.0,216.0,1.0277777777777777
multi-agent?,,1,1,"(20, 0, 80)",9913.0,9879.0,10195.0,1.0284474931907597,12.0,187.0,0.1497326203208556
multi-agent?,,1,1,"(20, 20, 60)",10126.0,10073.0,12310.0,1.2156824017381,23.0,182.0,0.5164835164835165
multi-agent?,,1,1,"(20, 30, 50)",9913.0,9839.0,12076.0,1.2181983254312518,31.0,161.0,0.6521739130434783
multi-agent?,,1,1,"(20, 40, 40)",10045.0,9979.0,13134.0,1.3075161772025883,29.0,192.0,0.6510416666666666
