Strategy,Green Length,Yellow Length,Neighbors Asked,Weights,Total Traffic Input,Total Traffic Output,Total Waiting Time,Average Total Waiting Time,Total Accidents,Priority Vehicles Count,Priority Average Waiting Time
priority-score?,,1,,"(0, 0, 100)",5028.0,4998.0,268885.0,53.47752585521082,0.0,91.0,0.0
priority-score?,,1,,"(0, 20, 80)",9877.0,9771.0,38450.0,3.892882454186494,48.0,185.0,0.8216216216216217
priority-score?,,1,,"(0, 40, 60)",10028.0,9906.0,39043.0,3.8933984842441163,52.0,205.0,1.6
priority-score?,,1,,"(0, 50, 50)",9918.0,9799.0,39466.0,3.9792296834039123,54.0,207.0,1.893719806763285
priority-score?,,1,,"(0, 60, 40)",9978.0,9875.0,39899.0,3.9986971336941273,44.0,182.0,2.456043956043956
priority-score?,,1,,"(0, 80, 20)",10027.0,9928.0,40325.0,4.021641567767029,45.0,196.0,2.38265306122449
priority-score?,,1,,"(0, 100, 0)",9881.0,9748.0,39218.0,3.9690314745471107,58.0,204.0,4.0245098039215685
priority-score?,,1,,"(10, 10, 80)",10076.0,9996.0,9670.0,0.9597062326319968,35.0,184.0,0.22826086956521738
priority-score?,,1,,"(10, 30, 60)",10034.0,9944.0,10790.0,1.075343830974686,42.0,215.0,0.3767441860465116
priority-score?,,1,,"(10, 40, 50)",9998.0,9927.0,10982.0,1.0984196839367875,31.0,210.0,0.4095238095238095
priority-score?,,1,,"(10, 50, 40)",10209.0,10130.0,11882.0,1.1638750122440984,35.0,207.0,0.7342995169082126
priority-score?,,1,,"(10, 60, 30)",10153.0,10078.0,11739.0,1.1562099871959026,34.0,194.0,0.8298969072164949
priority-score?,,1,,"(10, 80, 10)",10054.0,9984.0,10825.0,1.076685896160732,31.0,220.0,0.9272727272727272
priority-score?,,1,,"(20, 0, 80)",10027.0,10010.0,8150.0,0.8128054253515508,5.0,202.0,0.16831683168316833
priority-score?,,1,,"(20, 20, 60)",9854.0,9782.0,9340.0,0.9478384412421351,32.0,202.0,0.21287128712871287
